locality,lga_name,abs_lga_code,regional_group,category,subcategory,display_name,poi_count
MANANGATANG,SWAN HILL,26610,Mallee,shopping,convenience_store,Convenience Store,1
MANDURANG SOUTH,GREATER BENDIGO,22620,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,1
MANGALORE,STRATHBOGIE,26430,Goulburn,public_transport,platform,Public Transport Platform,1
MANGALORE,STRATHBOGIE,26430,Goulburn,recreation,nature_reserve,Nature Reserve,1
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,community,social_facility,Social Facility,2
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,education,kindergarten,Kindergarten,2
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,education,school,School,2
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,public_transport,bus_stop,Bus Stop,13
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,public_transport,stop_position,Public Transport Stop Position,6
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,recreation,park,Park,2
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,recreation,playground,Playground,3
